"stocklong","area","location","comm_name","sci_name","year","n","n_units","type","ref"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1991,6.36,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1992,94.96,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1993,65.82,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1994,7.4,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1996,26.7,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1997,25.2,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1999,12,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",2000,12.3,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",2001,34.7,"index","","Hill et al 2005"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",2002,46.6,"index","","Hill et al 2005"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1975,2935263200,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1977,5028872000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1978,6161775600,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1979,12294359000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1980,1456247800,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1981,1084661200,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1982,2347406100,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1983,3.27119e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1984,11567388000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1985,35361397000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1986,5976825700,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1987,8882381000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1988,25033953000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1989,67061090000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1990,1.14893e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1991,3.23813e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1992,3.77112e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1993,93768900000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1994,30673597000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1995,9832117000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1996,58170914000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1997,38746750000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1998,2.69701e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1999,2.02933e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",2000,41602330000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",2001,14464190000,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",2002,2.92534e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",2003,1.62291e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",2004,4.09039e+11,"age 0 individuals","age 0","Anker-Nilssen and Aavark 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1989,0.8979033,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1990,0.8179839,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1991,2.5985513,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1992,2.3946023,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1993,1.1157285,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1994,0.80846196,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1995,0.6871586,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1996,0.29716477,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1997,1.6228344,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1998,1.3154864,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1999,2.1243656,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2000,4.7524695,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2001,6.781056,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2002,3.9311793,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2003,3.62375,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2004,2.158954,"million tons","spawners","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1989,0.63084847,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1990,0.20429647,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1991,0.19803435,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1992,0.5758159,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1993,0.49709004,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1994,0.51978487,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1995,0.15118966,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1996,0.44200045,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1997,0.16031896,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1998,0.48015806,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1999,0.48836014,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2000,0.8589096,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2001,2.7294307,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2002,1.5139507,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2003,1.471471,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2004,1.0666153,"million tons","YOY","Crawford et al 2006"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1975,0.11981707,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1976,0.23597561,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1977,0.16646342,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1978,0.09237805,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1979,0.10060976,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1980,0.14268292,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1981,0.13628049,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1982,0.14817072,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1983,0.21859756,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1984,0.26432925,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1985,0.13628049,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1986,0.21219513,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1987,0.087804876,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1988,0.30457318,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1989,0.20487805,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1990,0.18384147,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1991,0.29634145,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1992,0.15182927,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1993,0.12256098,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1994,0.1070122,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1995,0.039329268,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1996,0.26432925,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1997,0.1637195,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1998,0.43719512,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1999,0.23048781,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2000,0.3640244,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2001,0.25792682,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2002,0.1097561,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2003,0.075,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2004,0.12256098,"index","","Mills et al 2008"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1980,1.1408451,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1981,1.7605634,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1982,1.2394366,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1983,-1.8028169,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1984,1.2816901,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1985,1.5633802,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1986,-0.3943662,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,2.309859,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,2.4225352,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,1.3521127,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1990,-1.3521127,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,-0.30985916,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.8169014,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,1.028169,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-1.2676057,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.4929577,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-1.1408451,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1997,-1.0140845,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1983,-1.9145775,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1984,1.5205973,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1985,2.030944,"index","MRI2","Mills et al 2007"
