"source","stocklong","stockid","dietid","region","area","location","pred_type","class","order","family","species","comm_name","reference","n_units","n_yr","diet_yn","diet_prop"
"Hilborn et al. (2017)","Albacore tuna North Pacific Ocean","ALBANPAC","Albacore tuna NE Pacific","NE Pacific","US West Coast","North Pacific Ocean","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","RAM","ram",45,"Y",0.406666666666667
"Hilborn et al. (2017)","Albacore tuna Northern Atlantic","ALBANATL","Albacore tuna NW Atlantic","NW Atlantic","Atlantic Ocean","Northern Atlantic","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","RAM","ram",58,"Y",0.5195
"Hilborn et al. (2017)","Arrowtooth flounder Pacific Coast","ARFLOUNDPCOAST","Arrowtooth flounder NE Pacific","NE Pacific","US West Coast","Pacific Coast","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder","RAM","ram",92,"Y",0.5989
"Hilborn et al. (2017)","Atlantic bluefin tuna Western Atlantic","ATBTUNAWATL","Atlantic bluefin tuna NW Atlantic","NW Atlantic","Atlantic Ocean","Western Atlantic","fish","Actinopterygii","Perciformes","Scombridae","Thunnus thynnus","Atlantic bluefin tuna","RAM","ram",40,"Y",1.26832
"Hilborn et al. (2017)","Atlantic cod Georges Bank","CODGB","Atlantic cod NW Atlantic","NW Atlantic","US East Coast","Georges Bank","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","RAM","ram",34,"Y",0.626
"Hilborn et al. (2017)","Atlantic croaker Mid-Atlantic Coast","ATLCROAKMATLC","Atlantic croaker NW Atlantic","NW Atlantic","US East Coast","Mid-Atlantic Coast","fish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias undulatus","Atlantic croaker","RAM","ram",30,"N",0
"Hilborn et al. (2017)","Atlantic halibut Gulf of Maine / Georges Bank","ATHAL5YZ","Atlantic halibut NW Atlantic","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut","RAM","ram",208,"Y",0.126
"Hilborn et al. (2017)","Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]",NA,"Atlantic sharpnose shark NW Atlantic","NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon terraenovae","Atlantic sharpnose shark","SEDAR 2013","abundance (pred.)",62,"Y",0.03665
"Hilborn et al. (2017)","Atlantic white-sided dolphin Central Virginia-Lower Bay of Fundy [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","Central Virginia-Lower Bay of Fundy","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2015","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin Georges Bank-Gulf of St. Lawrence [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","Georges Bank-Gulf of St. Lawrence","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2002","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin NW Atlantic [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","NW Atlantic","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2010","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin S. Gulf of Maine-Upper Bay of Fundy-Gulf of St. Lawrence [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","S. Gulf of Maine-Upper Bay of Fundy-Gulf of St. Lawrence","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2011","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin Virginia-Gulf of St. Lawrence [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","Virginia-Gulf of St. Lawrence","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 1997","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Bigeye tuna Atlantic Ocean","BIGEYEATL","Bigeye tuna NW Atlantic","NW Atlantic","Atlantic Ocean","Atlantic Ocean","fish","Actinopterygii","Perciformes","Scombridae","Thunnus obesus","Bigeye tuna","RAM","ram",61,"Y",0.618
"Hilborn et al. (2017)","Black rockfish Northern Pacific Coast","BLACKROCKNPCOAST","Black rockfish NE Pacific","NE Pacific","US West Coast","Northern Pacific Coast","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes melanops","Black rockfish","RAM","ram",92,"Y",0.419
"Hilborn et al. (2017)","Black sea bass Mid-Atlantic Coast","BSBASSMATLC","Black sea bass NW Atlantic","NW Atlantic","US East Coast","Mid-Atlantic Coast","fish","Actinopterygii","Perciformes","Serranidae","Centropristis striata","Black sea bass","RAM","ram",40,"Y",0.043
"Hilborn et al. (2017)","Black-legged kittiwake Pribilof Islands [abundance (est.)]",NA,"Black-legged kittiwake NE Pacific","NE Pacific","Alaska","Pribilof Islands","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Jahncke et al. 2008","abundance (est.)",4,"Y",0.942
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]",NA,"Black-vented shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus opisthomelas","Black-vented shearwater","Hyrenbach and Veit 2003","density (fall)",11,"Y",0.4
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]",NA,"Black-vented shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus opisthomelas","Black-vented shearwater","Hyrenbach and Veit 2003","density (spring)",12,"Y",0.4
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]",NA,"Black-vented shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus opisthomelas","Black-vented shearwater","Hyrenbach and Veit 2003","density (summer)",11,"Y",0.4
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]",NA,"Black-vented shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus opisthomelas","Black-vented shearwater","Hyrenbach and Veit 2003","density (winter)",11,"Y",0.4
"Hilborn et al. (2017)","Blacktip shark Atlantic","BTIPSHARATL","Blacktip shark NW Atlantic","NW Atlantic","Atlantic Ocean","Atlantic","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus limbatus","Blacktip shark","RAM","ram",0,"Y",0.431675
"Hilborn et al. (2017)","Blacktip shark Gulf of Mexico","BTIPSHARGM","Blacktip shark NW Atlantic","NW Atlantic","US Southeast and Gulf","Gulf of Mexico","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus limbatus","Blacktip shark","RAM","ram",0,"Y",0.431675
"Hilborn et al. (2017)","Blue marlin Pacific Ocean","BMARLINPAC","Blue marlin NE Pacific","NE Pacific","Pacific Ocean","Pacific Ocean","fish","Actinopterygii","Perciformes","Istiophoridae","Makaira nigricans","Blue marlin","RAM","ram",55,"N",0
"Hilborn et al. (2017)","Blue shark Chesapeake Bay [cpue (standardized, females)]",NA,"Blue shark NW Atlantic","NW Atlantic","NW Atlantic","Chesapeake Bay","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace glauca","Blue shark","Simpfendorfer et al. 2002","cpue (standardized, females)",10,"Y",0.041
"Hilborn et al. (2017)","Blue shark Chesapeake Bay [cpue (standardized, males)]",NA,"Blue shark NW Atlantic","NW Atlantic","NW Atlantic","Chesapeake Bay","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace glauca","Blue shark","Simpfendorfer et al. 2002","cpue (standardized, males)",17,"Y",0.041
"Hilborn et al. (2017)","Bluefish Atlantic Coast","BLUEFISHATLC","Bluefish NW Atlantic","NW Atlantic","US East Coast","Atlantic Coast","fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix","Bluefish","RAM","ram",26,"Y",0.382434210526316
"Hilborn et al. (2017)","Brandt cormorant Gulf of Farallon Islands [nests (total)]",NA,"Brandt cormorant NE Pacific","NE Pacific","California","Gulf of Farallon Islands","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","Capitolo et al. 2014","nests (total)",20,"Y",0.289092592592593
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]",NA,"Brandt cormorant NE Pacific","NE Pacific","California","South Farallon Island","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","Elliot et al. 2015","breeding adults",42,"Y",0.289092592592593
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]",NA,"Brown pelican NW Atlantic","NW Atlantic","Atlantic Coast","Florida-Maryland & Gulf Coast-Alabama","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus occidentalis","Brown pelican","esasuccess.org","nesting pairs",19,"Y",0.14
"Hilborn et al. (2017)","Brown pelican Oregon [abundance (total)]",NA,"Brown pelican NE Pacific","NE Pacific","Oregon","Oregon","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus occidentalis","Brown pelican","Stinson 2014","abundance (total)",22,"N",0
"Hilborn et al. (2017)","Brown pelican South California Bight [nests (total)]",NA,"Brown pelican NE Pacific","NE Pacific","California","South California Bight","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus occidentalis","Brown pelican","esasuccess.org","nests (total)",34,"N",0
"Hilborn et al. (2017)","Brown pelican Washington [abundance (total)]",NA,"Brown pelican NE Pacific","NE Pacific","Washington","Washington","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus occidentalis","Brown pelican","Stinson 2014","abundance (total)",26,"N",0
"Hilborn et al. (2017)","California gull Lake Mono [breeding adults]",NA,"California gull NE Pacific","NE Pacific","California","Lake Mono","birds","Aves","Ciconiiformes","Laridae","Larus californicus","California gull","Wrege et al. 2006","breeding adults",21,"Y",0.667
"Hilborn et al. (2017)","California sea lion Southern SCB [abundance (total)]",NA,"California sea lion NE Pacific","NE Pacific","California","Southern SCB","mammals","Mammalia","Carnivora","Otariidae","Zalophus californianus","California sea lion","Lowry and Maravilla 2005","abundance (total)",26,"Y",0.311117948717948
"Hilborn et al. (2017)","California sea lion Southern SCB [pups]",NA,"California sea lion NE Pacific","NE Pacific","California","Southern SCB","mammals","Mammalia","Carnivora","Otariidae","Zalophus californianus","California sea lion","NOAA 2011","pups",33,"Y",0.311117948717948
"Hilborn et al. (2017)","Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]",NA,"Common and bigeye thresher sharks NW Atlantic","NW Atlantic","NW Atlantic","Northwest Atlantic","fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias spp.","Common and bigeye thresher sharks","Cortes et al. 2007","cpue (standardized)",20,"N",0
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]",NA,"Common guillemot NE Pacific","NE Pacific","California","Southeast Farallons Island","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","Lee et al. 2008","breeding adults",17,"Y",0.921071428571429
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]",NA,"Common guillemot NE Pacific","NE Pacific","California","UU Colony, Farallons Island","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","Lee et al. 2008","population index",17,"Y",0.921071428571429
"Hilborn et al. (2017)","Common thresher shark West Coast US [cpue]",NA,"Common thresher shark NE Pacific","NE Pacific","US West Coast","West Coast US","fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias vulpinus","Common thresher shark","NMFS unpublished","cpue",24,"Y",0.815433333333333
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]",NA,"Cutthroat trout NE Pacific","NE Pacific","Oregon","Nestucca River","fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus clarkii","Cutthroat trout","OR Native Fish Status Report Vol II","abundance index",33,"Y",0.4795
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]",NA,"Cutthroat trout NE Pacific","NE Pacific","Oregon","Wilson and Tasks Rivers","fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus clarkii","Cutthroat trout","OR Native Fish Status Report Vol II","abundance index",36,"Y",0.4795
"Hilborn et al. (2017)","Dall's porpoise CA/OR/WA [abundance (geometric mean)]",NA,"Dall's porpoise NE Pacific","NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Mammalia","Cetacea","Phocoenidae","Phocoenoides dalli","Dall's porpoise","NOAA 2008, NOAA 2010","abundance (geometric mean)",2,"Y",0.069
"Hilborn et al. (2017)","Dall's porpoise CA/OR/WA [abundance (weighted mean)]",NA,"Dall's porpoise NE Pacific","NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Mammalia","Cetacea","Phocoenidae","Phocoenoides dalli","Dall's porpoise","NOAA 2000, NOAA 2003","abundance (weighted mean)",2,"Y",0.069
"Hilborn et al. (2017)","Dolphinfish Gulf of Mexico [cpue (standardized)]",NA,"Dolphinfish NE Pacific","NE Pacific","Gulf of Mexico","Gulf of Mexico","fish","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","Dolphinfish","Kleisner 2008","cpue (standardized)",19,"N",0
"Hilborn et al. (2017)","Dolphinfish Western Atlantic [cpue (standardized)]",NA,"Dolphinfish NW Atlantic","NW Atlantic","Western Atlantic","Western Atlantic","fish","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","Dolphinfish","Kleisner 2008","cpue (standardized)",12,"Y",0.321
"Hilborn et al. (2017)","Dusky shark Northwest Atlantic & GOM [cpue (standardized, bllop)]",NA,"Dusky shark NW Atlantic","NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","Dusky shark","Morgan 2008","cpue (standardized, bllop)",13,"Y",0.247
"Hilborn et al. (2017)","Dusky shark Northwest Atlantic & GOM [cpue (standardized, lps)]",NA,"Dusky shark NW Atlantic","NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","Dusky shark","Morgan 2008","cpue (standardized, lps)",21,"Y",0.247
"Hilborn et al. (2017)","Dusky shark Northwest Atlantic & GOM [cpue (standardized, pllop)]",NA,"Dusky shark NW Atlantic","NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","Dusky shark","Morgan 2008","cpue (standardized, pllop)",15,"Y",0.247
"Hilborn et al. (2017)","Dusky shark Northwest Atlantic & GOM [cpue (standardized, vims)]",NA,"Dusky shark NW Atlantic","NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","Dusky shark","Morgan 2008","cpue (standardized, vims)",30,"Y",0.247
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]",NA,"Eastern Pacific bonito NE Pacific","NE Pacific","California","Southern California","fish","Actinopterygii","Perciformes","Scombridae","Sarda chiliensis","Eastern Pacific bonito","Mandy 2008","cpue (tons/trip)",16,"Y",0.937
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]",NA,"Elegant tern NE Pacific","NE Pacific","Gulf of California","Isla Rasa","birds","Aves","Ciconiiformes","Laridae","Thalasseus elegans","Elegant tern","Velarde et al. 2015","breeding pairs",35,"Y",0.517895555555556
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]",NA,"Elegant tern NE Pacific","NE Pacific","California","San Diego Bay","birds","Aves","Ciconiiformes","Laridae","Thalasseus elegans","Elegant tern","Schaffner 1986, Velarde et al. 2015","breeding pairs",33,"Y",0.517895555555556
"Hilborn et al. (2017)","Fin whale Northwest Atlantic [abundance (est.)]",NA,"Fin whale NW Atlantic","NW Atlantic","NW Atlantic","Northwest Atlantic","mammals","Mammalia","Cetacea","Balaenopteridae","Balaenoptera physalus","Fin whale","NOAA 1998, NOAA 2005, NOAA 2007, NOAA 2009, NOAA 2014, NOAA 2015","abundance (est.)",6,"Y",0.308571428571429
"Hilborn et al. (2017)","Finetooth shark Atlantic","FTOOTHSHARATL","Finetooth shark NW Atlantic","NW Atlantic","Atlantic Ocean","Atlantic","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus isodon","Finetooth shark","RAM","ram",0,"Y",0.7466
"Hilborn et al. (2017)","Grey seal Non-Sable Islands [pup production]",NA,"Grey seal NW Atlantic","NW Atlantic","NW Atlantic","Non-Sable Islands","mammals","Mammalia","Carnivora","Phocidae","Halichoerus grypus","Grey seal","Hemmil 2005","pup production",9,"Y",0.273266666666667
"Hilborn et al. (2017)","Grey seal Northwest Atlantic [abundance (est.)]",NA,"Grey seal NW Atlantic","NW Atlantic","NW Atlantic","Northwest Atlantic","mammals","Mammalia","Carnivora","Phocidae","Halichoerus grypus","Grey seal","NOAA 2011, NOAA 2012, NOAA 2015","abundance (est.)",3,"Y",0.273266666666667
"Hilborn et al. (2017)","Grey seal Sable Islands [pup production]",NA,"Grey seal NW Atlantic","NW Atlantic","NW Atlantic","Sable Islands","mammals","Mammalia","Carnivora","Phocidae","Halichoerus grypus","Grey seal","Bowen et al. 2003","pup production",29,"Y",0.273266666666667
"Hilborn et al. (2017)","Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)]",NA,"Harbor porpoise NW Atlantic","NW Atlantic","Gulf of Maine","Gulf of Maine-Bay of Fundy","mammals","Mammalia","Cetacea","Phocoenidae","Phocoena phocoena","Harbor porpoise","NOAA 2007, NOAA 2011, NOAA 2015","abundance (est.)",3,"Y",0.608333333333333
"Hilborn et al. (2017)","Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)].1",NA,"Harbor porpoise NW Atlantic","NW Atlantic","Gulf of Maine","Gulf of Maine-Bay of Fundy","mammals","Mammalia","Cetacea","Phocoenidae","Phocoena phocoena","Harbor porpoise","NOAA 2007, NOAA 2011, NOAA 2015","abundance (est.)",3,"Y",0.608333333333333
"Hilborn et al. (2017)","Harbor porpoise Monterrey Bay [abundance (est.)]",NA,"Harbor porpoise NE Pacific","NE Pacific","California","Monterrey Bay","mammals","Mammalia","Cetacea","Phocoenidae","Phocoena phocoena","Harbor porpoise","NOAA 2003, NOAA 2005, NOAA 2009, NOAA 2013","abundance (est.)",4,"Y",0.7596
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]",NA,"Humpback whale NE Pacific","NE Pacific","CA/OR","CA/OR","mammals","Mammalia","Cetacea","Balaenopteridae","Megaptera novaeangliae","Humpback whale","Calambokidis 2013","abundance (total est.)",21,"Y",0.727
"Hilborn et al. (2017)","Humpback whale Washington [abundance (total est.)]",NA,"Humpback whale NE Pacific","NE Pacific","Washington","Washington","mammals","Mammalia","Cetacea","Balaenopteridae","Megaptera novaeangliae","Humpback whale","Calambokidis 2009","abundance (total est.)",9,"Y",0.727
"Hilborn et al. (2017)","Lingcod Northern Pacific Coast","LINGCODNPCOAST","Lingcod NE Pacific","NE Pacific","US West Coast","Northern Pacific Coast","fish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon elongatus","Lingcod","RAM","ram",82,"Y",0.0402
"Hilborn et al. (2017)","Little skate Georges Bank [biomass (log-scale)]",NA,"Little skate NW Atlantic","NW Atlantic","NW Atlantic","Georges Bank","fish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja erinacea","Little skate","Nye et al. 2010","biomass (log-scale)",40,"N",0
"Hilborn et al. (2017)","Little skate Gulf of Maine [biomass (log-scale)]",NA,"Little skate NW Atlantic","NW Atlantic","Gulf of Maine","Gulf of Maine","fish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja erinacea","Little skate","Nye et al. 2010","biomass (log-scale)",37,"N",0
"Hilborn et al. (2017)","Long-beaked common dolphin CA/OR/WA [abundance (est.)]",NA,"Long-beaked common dolphin NE Pacific","NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Mammalia","Cetacea","Delphinidae","Delphinus capensis","Long-beaked common dolphin","NOAA 2008, NOAA 2010, NOAA 2012","abundance (est.)",4,"Y",1.6224
