"diet_id","region","area","location","pred_comm","pred_species","pred_stage","stage_units","season","reference","year","prey_comm","prey_species","prey_size_mm","prey_age_yr","diet_prop","diet_prop_units","comment"
"European hake Europe","Europe",NA,NA,"European hake","Merluccius merluccius",NA,NA,NA,"Du Buit 1996 Figure 4","1983-1985","European sprat","Sprattus sprattus","90-160",NA,NA,NA,NA
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jan-Mar","Daan 1989 Table 8C1","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.0717,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jan-Mar","Daan 1989 Table 8C1","1981","European sprat","Sprattus sprattus",NA,NA,0.1654,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jan-Mar","Daan 1989 Table 8C1","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.2104,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Apr-Jun","Daan 1989 Table 8C2","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.4676,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Apr-Jun","Daan 1989 Table 8C2","1981","European sprat","Sprattus sprattus",NA,NA,0.0316,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Apr-Jun","Daan 1989 Table 8C2","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.1576,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jul-Sep","Daan 1989 Table 8C3","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.1467,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jul-Sep","Daan 1989 Table 8C3","1981","European sprat","Sprattus sprattus",NA,NA,0.2112,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jul-Sep","Daan 1989 Table 8C3","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.0767,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Oct-Dec","Daan 1989 Table 8C4","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.1421,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Oct-Dec","Daan 1989 Table 8C4","1981","European sprat","Sprattus sprattus",NA,NA,0.0953,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Oct-Dec","Daan 1989 Table 8C4","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.2543,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus","3-7 yr","yr","Jan-Mar","Daan 1989 Table 8D1","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.122,"by weight",NA
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Apr-Jun","Daan 1989 Table 8D2","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.4863,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Apr-Jun","Daan 1989 Table 8D2","1980-1983","European sprat","Sprattus sprattus",NA,NA,0.0167,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Apr-Jun","Daan 1989 Table 8D2","1980-1983","Norway pout","Trisopterus esmarkii",NA,NA,7e-04,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Jul-Sep","Daan 1989 Table 8D3","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.1383,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Jul-Sep","Daan 1989 Table 8D3","1980-1983","European sprat","Sprattus sprattus",NA,NA,0.0457,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Jul-Sep","Daan 1989 Table 8D3","1980-1983","Norway pout","Trisopterus esmarkii",NA,NA,0.0537,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Oct-Dec","Daan 1989 Table 8D4","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.013,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus","3-7 yr","yr","Oct-Dec","Daan 1989 Table 8D4","1980-1983","European sprat","Sprattus sprattus",NA,NA,0.017,"by weight",NA
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Oct-Dec","Daan 1989 Table 8D4","1980-1983","Norway pout","Trisopterus esmarkii",NA,NA,0.1347,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Oct-Mar","Daan 1989 Table 8E","1980-1982","Sandeel spp.","Ammodytidae spp.",NA,NA,0.2404,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Oct-Mar","Daan 1989 Table 8E","1980-1982","European sprat","Sprattus sprattus",NA,NA,0.0392,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Oct-Mar","Daan 1989 Table 8E","1980-1982","Norway pout","Trisopterus esmarkii",NA,NA,0.479,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Apr-Sep","Daan 1989 Table 8E","1980-1982","Sandeel spp.","Ammodytidae spp.",NA,NA,0.2722,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens","300 mm","mm","Apr-Sep","Daan 1989 Table 8E","1980-1982","European sprat","Sprattus sprattus",NA,NA,0.003,"by weight",NA
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Apr-Sep","Daan 1989 Table 8E","1980-1982","Norway pout","Trisopterus esmarkii",NA,NA,0.2131,"by weight","percents are averaged across age classes of the predator"
"Black-legged kittiwake Europe","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","adult","age class","Feb-Apr","Coulston and Thomas 1985 Table 4","1968-1973","Sandeel spp.","Ammodytidae spp.",NA,NA,0.13,"by weight",NA
"Black-legged kittiwake Europe","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","chick","age class","Jun-Jul","Coulston and Thomas 1985 Table 4","1968-1973","Sandeel spp.","Ammodytidae spp.",NA,NA,0.66,"by weight",NA
"Black-legged kittiwake Europe","Europe","England","Farne Islands","Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun-Jul","Pearson 1968 in Coulston and Thomas 1985","1961-1963","Sandeel spp.","Ammodytidae spp.",NA,NA,0.56,"by weight",NA
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun-Jul","Galbraith 1983 in Coulston and Thomas 1985","1982","Sandeel spp.","Ammodytidae spp.",NA,NA,0.8,"by weight","converted to weight using Peason 1968 data"
"Common guillemot Europe","Europe","Shetland",NA,"Common guillemot","Uria aalge",NA,NA,"May-Aug","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","140-170",NA,1,"by weight","size=modal length in Jun-Jul"
"Common guillemot Europe","Europe","Shetland",NA,"Common guillemot","Uria aalge",NA,NA,"Mar-Aug","Blake et al 1985 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.9,"by weight",NA
"Common guillemot Europe","Europe","Shetland",NA,"Common guillemot","Uria aalge",NA,NA,"Jan","Tasker et al 1987 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.5,"by weight",NA
"Northern fulmar Europe","Europe","Shetland",NA,"Northern fulmar","Fulmarus glacialis",NA,NA,"Jun-Aug","Furness and Todd 1984 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","60-120",NA,0.7,"by weight","size=modal length in Jun-Jul"
"Northern fulmar Europe","Europe","Shetland",NA,"Northern fulmar","Fulmarus glacialis",NA,NA,"Jun","Fowler and Dye 1987 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.5,"by weight",NA
"Atlantic puffin Europe","Europe","Shetland",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"May-Aug","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","80-120",NA,1,"by weight","size=modal length in Jun-Jul"
"Atlantic puffin Europe","Europe","Shetland",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jun-Jul","Martin 1989 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.97,"by weight",NA
"Northern gannet Europe","Europe","Shetland",NA,"Northern gannet","Morus bassanus",NA,NA,"Jun-Jul","Martin 1989 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.8,"by weight",NA
"Northern gannet Europe","Europe","Shetland",NA,"Northern gannet","Morus bassanus",NA,NA,"May-Aug","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.5,"by weight",NA
"European shag Europe","Europe","Shetland",NA,"European shag","Phalacrocorax aristotelis",NA,NA,"Apr-Aug","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","100-150",NA,1,"by weight","size=modal length in Jun-Jul"
"Black-legged kittiwake Europe","Europe","Shetland",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"May-Jul","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","80-100",NA,1,"by weight","size=modal length in Jun-Jul"
"Razorbill Europe","Europe","Shetland",NA,"Razorbill","Alca torda",NA,NA,"Jun-Jul","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","60-80",NA,1,"by weight","size=modal length in Jun-Jul"
"Great black-backed gull Europe","Europe","Shetland",NA,"Great black-backed gull","Larus marinus",NA,NA,"May-Jul","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","80-140",NA,0.4,"by weight","size=modal length in Jun-Jul"
"Great black-backed gull Europe","Europe","Shetland",NA,"Great black-backed gull","Larus marinus",NA,NA,"Apr-Jun","Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.8,"by weight",NA
"Great black-backed gull Europe","Europe","Shetland",NA,"Great black-backed gull","Larus marinus",NA,NA,"Jul-Aug","Beaman 1978 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.5,"by weight",NA
"Great skua Europe","Europe","Shetland",NA,"Great skua","Stercorarius skua",NA,NA,"Mar","Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","100-140",NA,0.3,"by weight","size=modal length in Jun-Jul"
"Great skua Europe","Europe","Shetland",NA,"Great skua","Stercorarius skua",NA,NA,"Apr","Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.5,"by weight",NA
"Great skua Europe","Europe","Shetland",NA,"Great skua","Stercorarius skua",NA,NA,"May-Jun","Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.8,"by weight",NA
"Great skua Europe","Europe","Shetland",NA,"Great skua","Stercorarius skua",NA,NA,"Jul","Furness (1983, 1989) in Furness 1990; Furness and Hislop 1981","1975-1983","Lesser sand-eel","Ammodytes marinus",NA,NA,0.5,"by weight",NA
"Black guillemot Europe","Europe","Shetland",NA,"Black guillemot","Cepphus grylle",NA,NA,"May-Aug","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","100-180",NA,0.6,"by weight","size=modal length in Jun-Jul"
"Arctic tern Europe","Europe","Shetland",NA,"Arctic tern","Sterna paradisaea",NA,NA,"Jun-Jul","Furness (1983, 1989) in Furness 1990; Ewins 1985a in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","30-80",NA,1,"by weight","size=modal length in Jun-Jul"
"European herring gull Europe","Europe","Shetland",NA,"European herring gull","Larus argentatus",NA,NA,"May-Aug","Hudson 1986 in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","80-140",NA,0.2,"by weight","size=modal length in Jun-Jul"
"Arctic skua Europe","Europe","Shetland",NA,"Arctic skua","Stercorarius parasiticus",NA,NA,"May-Jul","Furness (1983, 1989) in Furness 1990","1975-1983","Lesser sand-eel","Ammodytes marinus","60-140",NA,1,"by weight","size=modal length in Jun-Jul"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jul","Heubeck ed 1989 pdf page 34","1973","Lesser sand-eel","Ammodytes marinus","77.3",NA,0.9,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jul","Heubeck ed 1989 pdf page 34","1974","Lesser sand-eel","Ammodytes marinus","97.4",NA,0.79,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jul-Aug","Heubeck ed 1989 pdf page 34","1976","Lesser sand-eel","Ammodytes marinus","80.9",NA,0.81,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jun-Jul","Heubeck ed 1989 pdf page 34","1978","Lesser sand-eel","Ammodytes marinus","79.8",NA,0.87,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jul","Heubeck ed 1989 pdf page 34","1979","Lesser sand-eel","Ammodytes marinus","105.4",NA,0.9,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jun","Heubeck ed 1989 pdf page 34","1981","Lesser sand-eel","Ammodytes marinus","76.7",NA,0.99,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jun","Heubeck ed 1989 pdf page 34","1983","Lesser sand-eel","Ammodytes marinus","64.3",NA,0.96,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jun","Heubeck ed 1989 pdf page 34","1984","Lesser sand-eel","Ammodytes marinus","56.9",NA,0.9,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jun","Heubeck ed 1989 pdf page 34","1986","Lesser sand-eel","Ammodytes marinus","43.8",NA,1,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jul","Heubeck ed 1989 pdf page 34","1987","Lesser sand-eel","Ammodytes marinus","30",NA,0.19,"by weight","size=average size"
"Atlantic puffin Europe","Europe","Hermaness",NA,"Atlantic puffin","Fratercula arctica",NA,NA,"Jun-Jul","Heubeck ed 1989 pdf page 34","1988","Lesser sand-eel","Ammodytes marinus",NA,NA,0.36,"by weight","size=average size"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1986","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.9875,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1987","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.9563,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1988","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.9469,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1989","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.9438,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1990","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.7813,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1991","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.4938,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1992","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.7031,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1993","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.6594,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1994","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.7344,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1995","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.9219,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1996","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.8188,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1997","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.8969,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Black-legged kittiwake Europe","Europe","Isle of May",NA,"Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1998","Lesser sand-eel","Ammodytes marinus",NA,"0+",0.7969,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Common guillemot Europe","Europe","Isle of May",NA,"Common guillemot","Uria aalge",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1986","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.8784,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Common guillemot Europe","Europe","Isle of May",NA,"Common guillemot","Uria aalge",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1987","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.8207,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Common guillemot Europe","Europe","Isle of May",NA,"Common guillemot","Uria aalge",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1988","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.4681,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Common guillemot Europe","Europe","Isle of May",NA,"Common guillemot","Uria aalge",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1989","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.696,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
"Common guillemot Europe","Europe","Isle of May",NA,"Common guillemot","Uria aalge",NA,NA,"Jun","Rindorf et al 2000 Figure 6","1990","Lesser sand-eel","Ammodytes marinus",NA,"1+",0.31,"by weight","ff_eaten_yr = % sandeels age 1+.  If >50%, age=1"
